day,month,hour,x,y,type,pressure
03,01,0000,610,13,L,1001
03,01,0000,30,202,L,987
03,01,0000,449,241,L,971
03,01,0000,76,216,L,986
03,01,0000,242,249,L,983
03,01,0000,359,254,L,972
03,01,0000,199,472,L,1012
03,01,0000,482,24,H,1028
03,01,0000,772,90,H,1022
03,01,0000,161,201,H,1008
03,01,0000,619,460,H,1026
05,01,0000,119,78,L,1000
05,01,0000,553,147,L,996
05,01,0000,350,226,L,990
05,01,0000,80,191,L,994
05,01,0000,234,213,L,1001
05,01,0000,453,292,L,990
05,01,0000,115,398,L,985
05,01,0000,677,492,L,1016
05,01,0000,487,50,H,1021
05,01,0000,259,135,H,1015
05,01,0000,418,147,H,1023
05,01,0000,153,216,H,1017
05,01,0000,346,511,H,1025
12,01,0000,422,93,L,1007
12,01,0000,776,108,L,1011
12,01,0000,224,106,L,1015
12,01,0000,775,153,L,1011
12,01,0000,193,222,L,1021
12,01,0000,33,293,L,998
12,01,0000,616,342,L,1013
12,01,0000,712,482,L,1017
12,01,0000,60,479,L,1011
12,01,0000,235,531,L,982
12,01,0000,137,93,H,1036
12,01,0000,377,271,H,1045
19,01,0000,465,90,L,979
19,01,0000,383,167,L,986
19,01,0000,608,167,L,995
19,01,0000,66,290,L,954
19,01,0000,307,222,L,997
19,01,0000,559,309,L,1000
19,01,0000,457,477,L,1005
19,01,0000,755,38,H,1028
19,01,0000,91,146,H,1004
19,01,0000,227,148,H,1017
19,01,0000,394,345,H,1021
26,01,0000,259,74,L,971
26,01,0000,270,127,L,969
26,01,0000,572,99,L,1003
26,01,0000,764,183,L,1011
26,01,0000,190,215,L,961
26,01,0000,67,415,L,1010
26,01,0000,37,437,L,1010
26,01,0000,491,521,L,1027
26,01,0000,756,53,H,1025
26,01,0000,6,290,H,1029
26,01,0000,338,434,H,1033
26,01,0000,470,412,H,1037
26,01,0000,625,486,H,1034
01,01,0000,72,182,L,993
01,01,0000,329,252,L,979
01,01,0000,132,356,L,968
01,01,0000,421,255,L,983
01,01,0000,229,363,L,979
01,01,0000,427,54,H,1029
01,01,0000,753,109,H,1027
01,01,0000,205,127,H,1025
01,01,0000,668,450,H,1022
01,01,0000,475,419,H,1022
08,01,0000,414,13,L,999
08,01,0000,273,113,L,1009
08,01,0000,664,171,L,999
08,01,0000,162,163,L,994
08,01,0000,22,232,L,1023
08,01,0000,389,207,L,1035
08,01,0000,625,277,L,999
08,01,0000,131,339,L,962
08,01,0000,224,340,L,983
08,01,0000,612,309,L,998
08,01,0000,783,63,H,1027
08,01,0000,424,172,H,1046
08,01,0000,646,489,H,1021
08,01,0000,525,504,H,1025
15,01,0000,211,166,L,1025
15,01,0000,464,171,L,979
15,01,0000,564,317,L,1005
15,01,0000,48,448,L,1012
15,01,0000,344,419,L,1003
15,01,0000,736,49,H,1026
15,01,0000,120,80,H,1037
15,01,0000,182,279,H,1033
15,01,0000,764,422,H,1026
22,01,0000,281,106,L,956
22,01,0000,109,157,L,982
22,01,0000,784,210,L,1011
22,01,0000,72,449,L,982
22,01,0000,599,94,H,1038
22,01,0000,643,197,H,1039
22,01,0000,503,420,H,1036
29,01,0000,326,108,L,950
29,01,0000,793,191,L,1018
29,01,0000,187,226,L,967
29,01,0000,392,368,L,1013
29,01,0000,153,477,L,1000
29,01,0000,564,439,L,1027
29,01,0000,578,204,H,1040
29,01,0000,306,417,H,1025
06,01,0000,657,21,L,1005
06,01,0000,285,68,L,1002
06,01,0000,537,101,L,1008
06,01,0000,96,128,L,996
06,01,0000,246,183,L,1006
06,01,0000,361,219,L,1001
06,01,0000,688,247,L,1015
06,01,0000,481,241,L,1001
06,01,0000,577,314,L,998
06,01,0000,148,293,L,979
06,01,0000,57,435,L,970
06,01,0000,354,11,H,1017
06,01,0000,739,98,H,1027
